time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-07-17 16:40:25.040 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , ,1, , , ,3159893,1377,1,744,744,1, ,2,4,1427,288677846840,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1689612024620,,, , , , , , , , , ,3145728,1377,26,26,5,26, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,12,139,135019592,1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-07-17 16:40:25.302 UTC, , , , , , , , , ,125,3164445,18592, , ,4, ,16, , , , , , , , , ,4,4, , , , ,1,5, ,1, , , , , , , , , ,1, , , ,3164445,1377,1,744,744, , , , ,1427,288677846840,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1689612024620,,, , , , , , , , , ,3145728,2498,43,43,5,43, , , ,10,10,2,10, ,3,10, , , , , , , , , , ,4096,2,1098,10, , , , , , , , ,157039688,1, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,9,4,1, , , , , , , , , , 
2023-07-17 16:40:25.485 UTC, , , , , , , , , ,125,3160589,14736, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,23,12, , , , , , , , ,1, , , ,3160589,3911,2, ,2595, , , , , , ,-1,-1,-1,-1, , , , , ,1,49, , , , , , , , , , , , , , , , , , , , , , , , , , ,1689612025367,,, , , , , , , , , ,3145728,3911, , , , , , ,21, , ,2, , ,3, , ,21, ,2048,1, , , , , ,103085,32, , , , , , , , ,12,139,172768328,1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-07-17 16:41:25.493 UTC, , , , , , ,1, , ,4109,5543885,2392736,1312, ,345, ,29161,1,0.00, , , , , , , ,345,12, , , ,71,8,11, ,404,2, , , , , , , , ,1, ,18105, ,5543885,3911,2, ,2595, , , , ,2333572,288684265272,40,40,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2333572,1689612025367,,, , , , , , , , , ,3145728,3011652,34,50,8,52, , ,4,277,277,3,277, ,3,280, ,4,1, , , , , , , ,10368,7,3007724,277, , , , , , ,40,576,274385504,3, , , , , , ,31239, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27836, ,2476,726,625,170, , , , , , , , , 
2023-07-17 16:42:25.504 UTC, , , , , , , , , ,15573,14569645,11407672,672, ,1171, ,73604, , , , , , , , , ,1171,24, , , ,196,8,12, ,5348, , , , , , , , , ,1, ,73543, ,14569645,3911,2, ,2595, , , , ,12326109,288675573560,55,55,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12326109,1689612025367,,, , , , , , , , , ,3145728,4298493834,47,57,12,57, , , ,129,129,2,129, ,3,133, , ,1, , ,38,1, , , ,2048,1,10514822,132, , , , , , ,46,440,192966144,3, , , , , , ,78509, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68812, ,5844,3852,12, , , , , , , , , , 
2023-07-17 16:43:25.512 UTC, , , , , , , , , ,17333,16071341,12907608,672, ,1304, ,11838, , , , , , , , , ,1304,24, , , ,203,8,12, ,8643, , , , , , , , , ,1, ,11586, ,16071341,3911,2, ,2595, , , , ,15017809,288666566456,55,55,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15017809,1689612025367,,, , , , , , , , , ,3145728,4300260308,47,57,9,81, ,219, ,480,480, ,480, ,3,483, , ,1, , , , , , , , , ,1766474,480, , , ,1, , ,50,256,398987264,2, , , , , , ,27362, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9207, ,16127,2028,12, , , , , , , , , , 
2023-07-17 16:44:25.518 UTC, , , , , , , , , ,20853,18118813,14951560,672, ,1560, ,36705, , , , , , , , , ,1560,29, , , ,241,8,12, ,45008, , , , , , , , , ,1, ,35580, ,18118813,3911,2, ,2595, , , , ,18004434,288655347512,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18004434,1689612025367,,, , , , , , , , , ,3145728,4302971726,49,59,9,61, , , ,524,524, ,524, ,3,527, , ,1, , , , , , , , , ,2711418,524, , , , , , ,22,190,362128808,1, , , , , , ,110729, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25161, ,76576,8992,12, , , , , , , , , , 
2023-07-17 16:45:25.525 UTC, , , , , , , , , ,20853,18118813,14951560,672, ,1560, ,12, , , , , , , , , ,1560,29, , , ,241,8,12, , , , , , , , , , , ,1, , , ,18118813,3911,2, ,2595, , , , ,18004434,288657723192,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18004434,1689612025367,,, , , , , , , , , ,3145728,4302971726,24,24,8,24, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,415606184, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 16:46:25.531 UTC, , , , , , , , , ,20853,18118813,14951560,672, ,1560, ,12, , , , , , , , , ,1560,29, , , ,241,8,12, , , , , , , , , , , ,1, , , ,18118813,3911,2, ,2595, , , , ,18004434,288653913912,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18004434,1689612025367,,, , , , , , , , , ,3145728,4302971726,46,46,23,46, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,468034984, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2023-07-17 16:47:25.533 UTC, , , , , , , , , ,20853,18118813,14951560,672, ,1560, ,12, , , , , , , , , ,1560,29, , , ,241,8,12, , , , , , , , , , , ,1, , , ,18118813,3911,2, ,2595, , , , ,18004434,288653504312,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18004434,1689612025367,,, , , , , , , , , ,3145728,4302971726,24,24,8,24, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,519415208, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
